Users,Total pulls,Pull number,MoC,PF,Female,HP,ATK,DEF,SPEED,Banner count,Legendary chance,Win percent,PHYSICAL,FIRE,ICE,LIGHTNING,WIND,QUANTUM,DESTRUCTION,HUNT,ERUDITION,HARMONY,NIHILITY,PRESERVATION
311247,29140065,1,9,8,1,126.72,87.12,49.5,115,1,0.008440035,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,2,9,8,1,126.72,87.12,49.5,115,1,0.008227193,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,3,9,8,1,126.72,87.12,49.5,115,1,0.008216932,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,4,9,8,1,126.72,87.12,49.5,115,1,0.008236965,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,5,9,8,1,126.72,87.12,49.5,115,1,0.00799146,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,6,9,8,1,126.72,87.12,49.5,115,1,0.007969838,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,7,9,8,1,126.72,87.12,49.5,115,1,0.0077139423,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,8,9,8,1,126.72,87.12,49.5,115,1,0.007785201,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,9,9,8,1,126.72,87.12,49.5,115,1,0.007777984,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,10,9,8,1,126.72,87.12,49.5,115,1,0.007262306,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,11,9,8,1,126.72,87.12,49.5,115,1,0.007385657,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,12,9,8,1,126.72,87.12,49.5,115,1,0.0070779845,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,13,9,8,1,126.72,87.12,49.5,115,1,0.007146982,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,14,9,8,1,126.72,87.12,49.5,115,1,0.007241477,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,15,9,8,1,126.72,87.12,49.5,115,1,0.00697157,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,16,9,8,1,126.72,87.12,49.5,115,1,0.0070442315,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,17,9,8,1,126.72,87.12,49.5,115,1,0.0069351727,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,18,9,8,1,126.72,87.12,49.5,115,1,0.006732929,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,19,9,8,1,126.72,87.12,49.5,115,1,0.007012343,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,20,9,8,1,126.72,87.12,49.5,115,1,0.0069962726,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,21,9,8,1,126.72,87.12,49.5,115,1,0.006831762,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,22,9,8,1,126.72,87.12,49.5,115,1,0.0067357207,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,23,9,8,1,126.72,87.12,49.5,115,1,0.0068111145,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,24,9,8,1,126.72,87.12,49.5,115,1,0.0066728937,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,25,9,8,1,126.72,87.12,49.5,115,1,0.006821915,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,26,9,8,1,126.72,87.12,49.5,115,1,0.006571224,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,27,9,8,1,126.72,87.12,49.5,115,1,0.0066864425,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,28,9,8,1,126.72,87.12,49.5,115,1,0.0065423395,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,29,9,8,1,126.72,87.12,49.5,115,1,0.00633885,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
311247,29140065,30,9,8,1,126.72,87.12,49.5,115,1,0.0066429726,0.572607781921549,0,0,0,0,0,1,0,1,0,0,0,0
